code,journal
F049,生物多样性
F003,生物工程学报
G401,生物骨科材料与临床研究
F016,生物化学与生物物理进展
F229,生物技术
F214,生物技术进展
F205,生物技术通报
F224,生物技术通讯
F204,生物加工过程
F213,生物学杂志
G006,生物医学工程学杂志
G332,生物医学工程研究
G603,生物医学工程与临床
F044,生物资源
G624,生殖医学杂志
C033,声学技术
C054,声学学报
E302,湿地科学
E636,湿地科学与管理
A615,石河子大学学报自然科学版
T933,石化技术与应用
X042,石家庄铁道大学学报自然科学版
L016,石油地球物理勘探
L015,石油化工
L034,石油化工高等学校学报
L021,石油化工设备技术
L019,石油机械
L031,石油勘探与开发
L030,石油炼制与化工
E126,石油实验地质
L005,石油物探
L028,石油学报
L012,石油学报石油加工
L006,石油与天然气地质
L008,石油钻采工艺
L025,石油钻探技术
U049,食品安全质量检测学报
F257,实验动物科学
G387,实验动物与比较医学
C009,实验力学
Y018,实验流体力学
G512,实用癌症杂志
G534,实用放射学杂志
G586,实用妇产科杂志
G746,实用肝脏病杂志
G457,实用骨科杂志
G224,实用口腔医学杂志
G700,实用老年医学
G652,实用皮肤病学杂志
G469,实用器官移植电子杂志
G766,实用心脑肺血管病杂志
G834,实用药物与临床
G324,实用医学杂志
G760,实用医院临床杂志
G768,实用预防医学
G856,实用肿瘤学杂志
G890,实用肿瘤杂志
U005,食品工业科技
U006,食品科学
A117,食品科学技术学报
U617,食品研究与开发
U035,食品与发酵工业
U641,食品与发酵科技
U547,食品与机械
U029,食品与生物技术学报
G748,食品与药品
H838,食用菌学报
E363,世界地震工程
E548,世界地质
G906,世界科学技术-中医药现代化
G485,世界临床药物
G484,世界中西医结合杂志
G483,世界中医药
A023,首都师范大学学报自然科学版
G073,首都医科大学学报
F033,兽类学报
R005,数据采集与处理
W009,数理统计与管理
B015,数学的实践与认识
B007,数学进展
B004,数学年刊A
C036,数学物理学报
B006,数学学报
B012,数学杂志
H008,水产学报
Z016,水处理技术
X533,水道港口
P007,水电能源科学
W004,水动力学研究与进展A
W013,水科学进展
R050,水力发电
R049,水力发电学报
R587,水利经济
W011,水利水电技术
W502,水利水电科技进展
W006,水利水运工程学报
W003,水利学报
F010,水生生物学报
H850,水生态学杂志
H015,水土保持通报
H287,水土保持学报
H056,水土保持研究
E540,水文
E154,水文地质工程地质
X528,水运工程
R566,水资源保护
W570,水资源与水工程学报
U056,丝绸
J051,四川大学学报工程科学版
G045,四川大学学报医学版
A006,四川大学学报自然科学版
F027,四川动物
Z007,四川环境
A033,四川师范大学学报自然科学版
G575,四川医学
G745,四川中医
H862,饲料工业
H864,饲料研究
T106,塑料
T014,塑料工业
T536,塑料科技
T079,塑料助剂
T580,塑性工程学报
X634,隧道建设
R652,太赫兹科学与电子信息学报
L009,太阳能学报
J011,太原理工大学学报
M544,钛工业进展
T500,弹性体
T015,炭素技术
N043,探测与控制学报
V531,陶瓷学报
H041,特产研究
L505,特种油气藏
N065,特种铸造及有色合金
A041,天津大学学报
U017,天津工业大学学报
U031,天津科技大学学报
A504,天津师范大学学报自然科学版
G076,天津医药
G626,天津中医药
G914,天津中医药大学学报
T611,天然产物研究与开发
L518,天然气地球科学
L029,天然气工业
T074,天然气化工
L507,天然气与石油
E023,天文学报
E114,天文学进展
X521,铁道工程学报
X007,铁道科学与工程学报
X005,铁道学报
G238,听力学及言语疾病杂志
R065,通信学报
G965,同济大学学报医学版
J032,同济大学学报自然科学版
Q003,同位素
N061,图学学报
T103,涂料工业
V029,土木工程学报
V035,土木工程与管理学报
V019,土木建筑与环境工程
H043,土壤
H057,土壤通报
H012,土壤学报
H048,土壤与作物
Y025,推进技术
S795,外国经济与管理
G601,外科理论与实践
G996,皖南医学院学报
S017,网络新媒体技术
R070,微波学报
G866,微创泌尿外科杂志
R057,微电机
R064,微电子学
R004,微电子学与计算机
R098,微纳电子技术
F004,微生物学报
F206,微生物学免疫学进展
F011,微生物学通报
F225,微生物学杂志
G651,微生物与感染
R085,微特电机
E052,微体古生物学报
S033,微型电脑应用
G210,微循环学杂志
S813,卫生软科学
G079,卫生研究
G800,胃肠病学
G326,胃肠病学和肝病学杂志
G702,温州医科大学学报
D003,无机材料学报
D023,无机化学学报
T072,无机盐工业
N044,无损检测
W014,武汉大学学报工学版
A024,武汉大学学报理学版
E107,武汉大学学报信息科学版
G038,武汉大学学报医学版
M032,武汉科技大学学报自然科学版
X017,武汉理工大学学报交通科学与工程版
J018,武汉理工大学学报信息与管理工程版
G771,武警后勤学院学报医学版
G707,武警医学
D001,物理化学学报
C006,物理学报
C509,物理与工程
E136,物探化探计算技术
E138,物探与化探
R009,西安电子科技大学学报自然科学版
J036,西安工业大学学报
V018,西安建筑科技大学学报自然科学版
X030,西安交通大学学报
G081,西安交通大学学报医学版
A150,西安科技大学学报
J002,西安理工大学学报
L010,西安石油大学学报自然科学版
R671,西安邮电大学学报
A032,西北大学学报自然科学版
E125,西北地质
Y023,西北工业大学学报
H224,西北林学院学报
H018,西北农林科技大学学报自然科学版
H288,西北农业学报
A022,西北师范大学学报自然科学版
G792,西北药学杂志
F020,西北植物学报
H385,西部林业科学
G588,西部医学
G699,西部中医药
J045,西华大学学报自然科学版
H004,西南大学学报自然科学版
G312,西南国防医药
X032,西南交通大学学报
H270,西南林业大学学报
A060,西南民族大学学报自然科学版
H061,西南农业学报
A064,西南师范大学学报自然科学版
L002,西南石油大学学报自然科学版
M041,稀土
M029,稀有金属
M052,稀有金属材料与工程
S505,系统仿真技术
S003,系统仿真学报
B028,系统工程
B025,系统工程理论与实践
B018,系统工程学报
R059,系统工程与电子技术
B027,系统管理学报
B021,系统科学与数学
G188,细胞与分子免疫学杂志
A063,厦门大学学报自然科学版
V087,现代城市研究
E027,现代地质
R089,现代电力
R748,现代电子技术
Y561,现代防御技术
U634,现代纺织技术
G300,现代妇产科进展
T063,现代化工
N100,现代科学仪器
G321,现代口腔医学杂志
R087,现代雷达
G438,现代临床护理
G798,现代泌尿生殖肿瘤杂志
G341,现代泌尿外科杂志
G067,现代免疫学
H417,现代农药
F250,现代生物医学进展
U010,现代食品科技
T929,现代塑料加工应用
X673,现代隧道技术
G451,现代消化及介入诊疗
G421,现代药物与临床
G223,现代医学
N115,现代仪器与医疗
G963,现代预防医学
N111,现代制造工程
G951,现代中西医结合杂志
G486,现代中药研究与实践
G896,现代中医临床
G826,现代肿瘤医学
T073,香料香精化妆品
A018,湘潭大学自然科学学报
T064,橡胶工业
T953,消防科学与技术
P010,小型内燃机与车辆技术
S027,小型微型计算机系统
G817,协和医学杂志
G083,心肺血管病杂志
S918,心理科学
S919,心理科学进展
E046,心理学报
G476,心脑血管病防治
G419,心血管病学进展
G578,心血管康复医学杂志
G260,心脏杂志
E159,新疆地质
H908,新疆农业大学学报
H276,新疆农业科学
L007,新疆石油地质
G980,新疆医科大学学报
G328,新乡医学院学报
V056,新型建筑材料
M102,新型炭材料
G721,新医学
R034,信号处理
R519,信息技术
S046,信息网络安全
S002,信息与控制
A510,信阳师范学院学报自然科学版
J061,徐州工程学院学报自然科学版
G565,徐州医学院学报
H023,畜牧兽医学报
H218,畜牧与兽医
G627,循证医学
R069,压电与声光
N052,压力容器
G189,牙体牙髓牙周病学杂志
E047,亚热带资源与环境学报
U562,烟草科技
E053,岩矿测试
E157,岩石矿物学杂志
C005,岩石力学与工程学报
E309,岩石学报
V574,岩土工程技术
V037,岩土工程学报
C004,岩土力学
E163,岩性油气藏
S821,研究与发展管理
E500,盐湖研究
T054,盐业与化工
G962,眼科
G554,眼科新进展
J025,燕山大学学报
H016,扬州大学学报农业与生命科学版
A514,扬州大学学报自然科学版
S031,遥测遥控
Z543,遥感技术与应用
S024,遥感信息
Z006,遥感学报
G403,药物不良反应杂志
G087,药物分析杂志
G877,药物流行病学杂志
G836,药物评价研究
G514,药物生物技术
G977,药学服务与研究
G440,药学实践杂志
G008,药学学报
G527,药学与临床研究
M023,冶金分析
M047,冶金能源
C503,液晶与显示
N079,液压气动与密封
N035,液压与气动
G605,医疗卫生装备
G482,医学动物防制
G333,医学分子生物学杂志
G545,医学临床研究
G281,医学研究生学报
G480,医学研究杂志
G265,医学影像学杂志
G964,医学与社会
G860,医学综述
G844,医药导报
G088,医用生物力学
N074,仪表技术与传感器
N066,仪器仪表学报
F024,遗传
G455,疑难病杂志
T104,印染助剂
G089,营养学报
D014,影像科学与光化学
G649,影像诊断与介入放射学
B008,应用概率统计
C109,应用光学
E123,应用海洋学学报
T949,应用化工
D016,应用化学
A580,应用基础与工程科学学报
R033,应用激光
X693,应用科技
A015,应用科学学报
F035,应用昆虫学报
C008,应用力学学报
E122,应用气象学报
Z018,应用生态学报
C052,应用声学
B011,应用数学
B020,应用数学和力学
B001,应用数学学报
F100,应用与环境生物学报
M014,硬质合金
L027,油气储运
L504,油气地质与采收率
L033,油田化学
K020,铀矿冶
T916,有机硅材料
D025,有机化学
M036,有色金属工程
M504,有色金属科学与工程
K013,有色金属矿山部分
K580,有色金属选矿部分
M020,有色金属冶炼部分
N907,鱼雷技术
H998,渔业科学进展
H220,渔业现代化
Y020,宇航材料工艺
Y008,宇航计测技术
Y024,宇航学报
H909,玉米科学
G479,预防医学
G518,预防医学情报杂志
H039,园艺学报
C108,原子核物理评论
Q008,原子能科学技术
A038,云南大学学报自然科学版
A654,云南民族大学学报自然科学版
H269,云南农业大学学报
A053,云南师范大学学报自然科学版
G090,云南中医学院学报
B013,运筹学学报
B522,运筹与管理
H989,杂草学报
H293,杂交水稻
E148,灾害学
Y057,载人航天
U643,造纸科学与技术
C100,噪声与振动控制
M043,轧钢
T569,粘接
Y521,战术导弹技术
R081,照明工程学报
A017,浙江大学学报工学版
A002,浙江大学学报理学版
H035,浙江大学学报农业与生命科学版
G091,浙江大学学报医学版
J016,浙江工业大学学报
H019,浙江农林大学学报
H201,浙江农业学报
G810,浙江医学
G092,浙江中医药大学学报
G093,针刺研究
G488,针灸临床杂志
N086,真空
C038,真空与低温
G259,诊断病理学杂志
G615,诊断学理论与实践
Y010,振动测试与诊断
Y004,振动工程学报
N030,振动与冲击
E316,震灾防御技术
J012,郑州大学学报工学版
A019,郑州大学学报理学版
G036,郑州大学学报医学版
G884,职业与健康
H577,植物保护
H014,植物保护学报
H052,植物病理学报
H584,植物检疫
F008,植物科学学报
F038,植物生理学报
F009,植物生态学报
F023,植物学报
F050,植物研究
H238,植物遗传资源学报
H890,植物营养与肥料学报
Z551,植物资源与环境学报
N091,指挥控制与仿真
U011,制冷学报
U640,制冷与空调(四川)
N046,制造技术与机床
S023,制造业自动化
C034,质谱学报
S052,智能系统学报
G007,中草药
G520,中成药
G538,中国癌症杂志
G985,中国艾滋病性病
G129,中国安全科学学报
Z552,中国安全生产科学技术
F048,中国比较医学杂志
N103,中国表面工程
G750,中国病案
G769,中国病毒病杂志
G096,中国病理生理杂志
G339,中国病原生物学杂志
M053,中国材料进展
H213,中国草地学报
N830,中国测试
G097,中国超声医学杂志
G529,中国卒中杂志
G901,中国当代儿科杂志
H939,中国稻米
G099,中国地方病防治杂志
E654,中国地质
E604,中国地质灾害与防治学报
R040,中国电机工程学报
R511,中国电力
G234,中国动脉硬化杂志
H891,中国动物传染病学报
G825,中国儿童保健杂志
G270,中国耳鼻咽喉颅底外科杂志
G543,中国耳鼻咽喉头颈外科
G100,中国法医学杂志
G290,中国防痨杂志
V023,中国非金属矿工业导刊
G320,中国肺癌杂志
G402,中国分子心脏病学杂志
V568,中国粉体技术
G587,中国辐射卫生
M007,中国腐蚀与防护学报
G456,中国妇产科临床杂志
G680,中国妇幼保健
G475,中国肝脏病杂志电子版
G631,中国感染控制杂志
G337,中国感染与化疗杂志
X035,中国港湾建设
V036,中国给水排水
N089,中国工程机械学报
N754,中国工程科学
G244,中国工业医学杂志
G102,中国公共卫生
X031,中国公路学报
G103,中国骨伤
G249,中国骨与关节损伤杂志
G648,中华骨与关节外科杂志
G857,中国骨与关节杂志
G663,中国骨质疏松杂志
W021,中国管理科学
N104,中国惯性技术学报
C099,中国光学
G637,中国国境卫生检疫杂志
H215,中国果树
L013,中国海上油气
E313,中国海洋大学学报自然科学版
L026,中国海洋平台
G104,中国海洋药物
X039,中国航海
G973,中国呼吸与危重监护杂志
G417,中国护理管理
Z030,中国环境监测
Z001,中国环境科学
N059,中国机械工程
A079,中国基础科学
R066,中国激光
R013,中国激光医学杂志
G852,中国急救复苏与灾害医学杂志
G241,中国急救医学
G192,中国脊柱脊髓杂志
G105,中国寄生虫学与寄生虫病杂志
G560,中国计划生育和妇产科
G907,中国计划生育学杂志
G787,中国健康教育
G784,中国健康心理学杂志
N108,中国舰船研究
T075,中国胶粘剂
G233,中国矫形外科杂志
G239,中国介入心脏病学杂志
G206,中国介入影像与治疗学
G323,中国康复
G400,中国康复理论与实践
G106,中国康复医学杂志
G107,中国抗生素杂志
A098,中国科技论坛
A108,中国科学 地球科学
A106,中国科学 化学
A109,中国科学 技术科学
A107,中国科学 生命科学
A105,中国科学 数学
A103,中国科学 物理学力学天文学
Z317,中国科学 信息科学
A081,中国科学基金
A007,中国科学技术大学学报
A102,中国科学院大学学报
A636,中国科学院院刊
Y003,中国空间科学技术
G441,中国口腔颌面外科杂志
K030,中国矿业
K015,中国矿业大学学报
U001,中国粮油学报
G447,中国临床保健杂志
G108,中国临床解剖学杂志
G536,中国临床神经科学
G794,中国临床神经外科杂志
G221,中国临床心理学杂志
G754,中国临床研究
G870,中国临床药理学与治疗学
G109,中国临床药理学杂志
G544,中国临床药学杂志
G814,中国临床医生杂志
G974,中国临床医学
G304,中国临床医学影像杂志
G110,中国麻风皮肤病杂志
H212,中国麻业科学
G613,中国慢性病预防与控制
G598,中国媒介生物学及控制杂志
K037,中国煤炭地质
G582,中国煤炭工业医学杂志
G428,中国美容医学
G297,中国美容整形外科杂志
K036,中国锰业
H211,中国棉花
G111,中国免疫学杂志
Y028,中国民航大学学报
K550,中国钼业
G303,中国男科学杂志
H273,中国南方果树
G422,中国脑血管病杂志
G277,中国内镜杂志
R524,中国能源
U609,中国酿造
W005,中国农村水利水电
H958,中国农学通报
H027,中国农业大学学报
H567,中国农业科技导报
H030,中国农业科学
H210,中国农业气象
H221,中国农业资源与区划
G311,中国皮肤性病学杂志
U020,中国皮革
G226,中国普通外科杂志
G269,中国普外基础与临床杂志
G776,中国全科医学
H081,中国热带农业
G629,中国热带医学
Z546,中国人口资源与环境
G112,中国人兽共患病学报
U052,中国乳品工业
S825,中国软科学
E124,中国沙漠
G366,中国社会医学杂志
G114,中国神经精神疾病杂志
G242,中国神经免疫学和神经病学杂志
H555,中国生态农业学报
H044,中国生物防治学报
F255,中国生物工程杂志
F002,中国生物化学与分子生物学报
G115,中国生物医学工程学报
G258,中国生物制品学杂志
G715,中国生育健康杂志
L001,中国石油大学学报自然科学版
L532,中国石油勘探
F047,中国实验动物学报
G604,中国实验方剂学杂志
G883,中国实验血液学杂志
G853,中国实验诊断学
G273,中国实用儿科杂志
G228,中国实用妇科与产科杂志
G305,中国实用护理杂志
G867,中国实用口腔科杂志
G267,中国实用内科杂志
G272,中国实用外科杂志
G872,中国实用眼科杂志
U635,中国食品添加剂
G429,中国食品卫生杂志
U007,中国食品学报
U563,中国食物与营养
H317,中国兽药杂志
H326,中国兽医科学
H225,中国兽医学报
H207,中国蔬菜
G796,中国输血杂志
G926,中国数字医学
H290,中国水产科学
H020,中国水稻科学
W557,中国水利水电科学研究院学报
H295,中国水土保持科学
T022,中国塑料
G211,中国糖尿病杂志
G521,中国疼痛医学杂志
G561,中国体视学与图像分析
G444,中国体外循环杂志
G101,中国天然药物
U501,中国调味品
X004,中国铁道科学
G437,中国听力语言康复科学杂志
R083,中国图象图形学报
H350,中国土地科学
H233,中国土壤与肥料
G373,中国微创外科杂志
G959,中国微侵袭神经外科杂志
G517,中国微生态学杂志
S725,中国卫生经济
G253,中国卫生统计
G540,中国卫生信息管理杂志
G716,中国卫生政策研究
G752,中国卫生质量管理
G541,中国卫生资源
K035,中国钨业
M022,中国稀土学报
F025,中国细胞生物学学报
G841,中国现代普通外科进展
G623,中国现代神经疾病杂志
G885,中国现代手术学杂志
G237,中国现代医学杂志
G849,中国现代应用药学
G377,中国现代中药
G284,中国消毒学杂志
G765,中国小儿急救医学
G845,中国小儿血液与肿瘤杂志
G298,中国斜视与小儿眼科杂志
G117,中国心理卫生杂志
G718,中国心血管病研究
G380,中国心血管杂志
G203,中国心脏起搏与心电生理杂志
G082,中国新生儿科杂志
G250,中国新药与临床杂志
G747,中国新药杂志
G727,中国性科学
G232,中国胸心血管外科临床杂志
G118,中国修复重建外科杂志
H294,中国畜牧兽医
H242,中国畜牧杂志
G908,中国学校卫生
G464,中国血管外科杂志电子版
G675,中国血吸虫病防治杂志
G633,中国血液净化
G119,中国循环杂志
G756,中国循证儿科杂志
G645,中国循证心血管医学杂志
G396,中国循证医学杂志
H208,中国烟草科学
U647,中国烟草学报
E303,中国岩溶
G619,中国眼耳鼻喉科杂志
G318,中国药房
G120,中国药科大学学报
G121,中国药理学通报
G122,中国药理学与毒理学杂志
G878,中国药师
G913,中国药事
G220,中国药物化学杂志
G227,中国药物警戒
G248,中国药物依赖性杂志
G713,中国药物应用与监测
G009,中国药学杂志
G755,中国药业
M628,中国冶金
G809,中国医刊
G123,中国医科大学学报
G124,中国医疗器械杂志
G679,中国医疗设备
G306,中国医师进修杂志
G313,中国医师杂志
G236,中国医学计算机成像杂志
G125,中国医学科学院学报
G471,中国医学前沿杂志电子版
G622,中国医学物理学杂志
G127,中国医学影像技术
G193,中国医学影像学杂志
S591,中国医学装备
G519,中国医药
G644,中国医药导报
T019,中国医药工业杂志
G531,中国医药生物技术
Q918,中国医院
G454,中国医院管理
G243,中国医院药学杂志
G314,中国疫苗和免疫
G130,中国应用生理学杂志
G706,中国优生与遗传杂志
H205,中国油料作物学报
U032,中国油脂
M028,中国有色金属学报
H099,中国预防兽医学报
G753,中国预防医学杂志
V039,中国园林
X012,中国造船
U033,中国造纸学报
H204,中国沼气
G600,中国针灸
H067,中国真菌学杂志
G945,中国职业医学
G347,中国中西医结合耳鼻咽喉科杂志
G843,中国中西医结合急救杂志
G757,中国中西医结合皮肤性病学杂志
G846,中国中西医结合肾病杂志
G758,中国中西医结合外科杂志
G528,中国中西医结合消化杂志
G182,中国中西医结合杂志
G132,中国中药杂志
G240,中国中医骨伤科杂志
G632,中国中医基础医学杂志
G524,中国中医急症
G749,中国中医眼科杂志
G832,中国中医药信息杂志
G642,中国肿瘤
G133,中国肿瘤临床
G255,中国肿瘤生物治疗杂志
G667,中国综合临床
G299,中国组织工程研究
G134,中国组织化学与细胞化学杂志
G502,中华保健医学杂志
G135,中华病理学杂志
G195,中华超声影像学杂志
G136,中华传染病杂志
G408,中华创伤骨科杂志
G137,中华创伤杂志
G098,中华地方病学杂志
G138,中华儿科杂志
G139,中华耳鼻咽喉头颈外科杂志
G743,中华耳科学杂志
G140,中华放射学杂志
G141,中华放射医学与防护杂志
G251,中华放射肿瘤学杂志
G474,中华肺部疾病杂志电子版
G286,中华风湿病学杂志
G142,中华妇产科杂志
G689,中华妇幼临床医学杂志电子版
G262,中华肝胆外科杂志
G231,中华肝脏病杂志
G054,中华肝脏外科手术学电子杂志
G235,中华高血压杂志
G143,中华骨科杂志
G728,中华骨质疏松和骨矿盐疾病杂志
G691,中华关节外科杂志电子版
G335,中华航海医学与高气压医学杂志
G144,中华航空航天医学杂志
G145,中华核医学与分子影像杂志
G146,中华护理杂志
G555,中华急诊医学杂志
G302,中华疾病控制杂志
G055,中华肩肘外科电子杂志
G174,中华检验医学杂志
G751,中华健康管理学杂志
G147,中华结核和呼吸杂志
G060,中华结直肠疾病电子杂志
Q905,中华解剖与临床杂志
G159,中华精神科杂志
G579,中华口腔医学研究杂志电子版
G148,中华口腔医学杂志
G280,中华口腔正畸学杂志
G149,中华劳动卫生职业病杂志
G639,中华老年多器官疾病杂志
G833,中华老年口腔医学杂志
G876,中华老年心脑血管病杂志
G150,中华老年医学杂志
G692,中华临床感染病杂志
G693,中华临床免疫和变态反应杂志
G824,中华临床营养杂志
G152,中华流行病学杂志
G153,中华麻醉学杂志
G154,中华泌尿外科杂志
G282,中华男科学杂志
G155,中华内分泌代谢杂志
G736,中华内分泌外科杂志
G156,中华内科杂志
G157,中华皮肤科杂志
G461,中华普通外科学文献电子版
G254,中华普通外科杂志
G462,中华普外科手术学杂志电子版
G158,中华器官移植杂志
G473,中华腔镜泌尿外科杂志电子版
G463,中华腔镜外科杂志电子版
G526,中华全科医师杂志
G515,中华全科医学
G505,中华乳腺病杂志电子版
G900,中华烧伤杂志
G197,中华神经科杂志
G976,中华神经外科疾病研究杂志
G160,中华神经外科杂志
G446,中华神经医学杂志
G065,中华肾病研究电子杂志
G161,中华肾脏病杂志
G737,中华生物医学工程杂志
G072,中华生殖与避孕杂志
G162,中华实验和临床病毒学杂志
G703,中华实验和临床感染病杂志电子版
G163,中华实验外科杂志
G773,中华实验眼科杂志
G875,中华实用儿科临床杂志
G367,中华实用诊断与治疗杂志
G848,中华手外科杂志
G506,中华损伤与修复杂志电子版
G739,中华糖尿病杂志
G164,中华外科杂志
G165,中华微生物学和免疫学杂志
G116,中华危重病急救医学
G761,中华危重症医学杂志电子版
G296,中华围产医学杂志
G740,中华卫生杀虫药械
G793,中华胃肠外科杂志
G166,中华物理医学与康复杂志
G470,中华细胞与干细胞杂志电子版
G167,中华显微外科杂志
G847,中华现代护理杂志
G285,中华消化内镜杂志
G978,中华消化外科杂志
G168,中华消化杂志
G169,中华小儿外科杂志
G892,中华心律失常学杂志
G170,中华心血管病杂志
G263,中华行为医学与脑科学杂志
G171,中华胸心血管外科杂志
G172,中华血液学杂志
G191,中华眼底病杂志
G173,中华眼科杂志
G873,中华眼视光学与视觉科学杂志
S590,中华医学教育探索杂志
Q920,中华医学超声杂志电子版
G705,中华医学教育杂志
G307,中华医学科研管理杂志
G489,中华医学美学美容杂志
G915,中华医学图书情报杂志
G175,中华医学遗传学杂志
G176,中华医学杂志
G591,中华医院管理杂志
G610,中华胰腺病杂志
G897,中华移植杂志电子版
G177,中华预防医学杂志
G178,中华整形外科杂志
G859,中华中医药学刊
G910,中华中医药杂志
G858,中华肿瘤防治杂志
G179,中华肿瘤杂志
G472,中华疝和腹壁外科杂志电子版
G039,中南大学学报医学版
K001,中南大学学报自然科学版
H053,中南林业科技大学学报
A550,中南民族大学学报自然科学版
G599,中南药学
G682,中南医学科学杂志
G180,中日友好医院学报
G181,中山大学学报医学科学版
A036,中山大学学报自然科学版
X539,中外公路
S020,中文信息学报
G842,中西医结合肝病杂志
G597,中西医结合心脑血管病杂志
R775,中兴通讯技术
G183,中药材
G564,中药新药与临床药理
G685,中医学报
G681,中医药导报
G010,中医杂志
G184,肿瘤
Q929,肿瘤代谢与营养电子杂志
G185,肿瘤防治研究
G412,肿瘤学杂志
G522,肿瘤研究与临床
G196,肿瘤药学
G838,肿瘤影像学
G695,肿瘤预防与治疗
H103,种子
G094,中风与神经疾病杂志
N022,轴承
H026,竹子学报
N075,铸造
N081,铸造技术
G407,转化医学杂志
N034,装备环境工程
A133,装备学院学报
N990,装甲兵工程学院学报
Z022,资源科学
R737,自动化技术与应用
S026,自动化学报
N013,自动化仪表
S501,自动化与仪表
R611,自动化与仪器仪表
A905,自然杂志
E137,自然灾害学报
Z012,自然资源学报
G229,卒中与神经疾病
N088,组合机床与自动化加工技术
G701,组织工程与重建外科杂志
L018,钻井液与完井液
G720,遵义医学院学报
H034,作物学报
H410,作物研究
H202,作物杂志
