code,journal
R090,电力自动化设备
R044,电气传动
R058,电气自动化
R039,电网技术
R116,电网与清洁能源
R684,电信科学
R754,电讯技术
R019,电源技术
R055,电子测量技术
R021,电子测量与仪器学报
R067,电子技术应用
R036,电子科技大学学报
R512,电子器件
R724,电子设计工程
R001,电子显微学报
R006,电子学报
R022,电子与信息学报
R020,电子元件与材料
J023,东北大学学报自然科学版
H262,东北林业大学学报
H006,东北农业大学学报
A030,东北师大学报自然科学版
L004,东北石油大学学报
U014,东华大学学报自然科学版
G057,东南大学学报医学版
J028,东南大学学报自然科学版
G944,东南国防医药
P003,动力工程学报
P018,动力学与控制学报
F014,动物分类学报
F022,动物学研究
F043,动物学杂志
G775,动物医学进展
F231,动物营养学报
X034,都市快轨交通
G542,毒理学杂志
T241,断块油气田
N070,锻压技术
G920,儿科药学杂志
C071,发光学报
G874,法医学杂志
U013,纺织高校基础科学学报
U053,纺织学报
G608,放射学实践
Y571,飞航导弹
Y006,飞行力学
K002,非金属矿
D022,分析测试学报
D005,分析化学
D026,分析科学学报
D004,分析试验室
D062,分析仪器
D015,分子催化
D035,分子科学学报
G556,分子诊断与治疗杂志
H845,分子植物育种
V052,粉煤灰综合利用
M105,粉末冶金工业
M039,粉末冶金技术
Q006,辐射防护
Q005,辐射研究与辐射工艺学报
H268,福建农林大学学报自然科学版
H265,福建农业学报
A078,福建师范大学学报自然科学版
G024,福建医科大学学报
A029,福州大学学报自然科学版
M003,腐蚀科学与防护技术
M505,腐蚀与防护
G068,复旦学报医学版
A001,复旦学报自然科学版
Y019,复合材料学报
B029,复杂系统与复杂性科学
G957,腹部外科
G338,腹腔镜外科杂志
A034,甘肃科学学报
H844,甘蔗糖业
G879,肝胆外科杂志
G690,肝胆胰外科杂志
G803,肝脏
H045,干旱地区农业研究
E048,干旱气象
E020,干旱区地理
E105,干旱区研究
M050,钢铁
M013,钢铁钒钛
M027,钢铁研究
M019,钢铁研究学报
D020,高等学校化学学报
B002,高等学校计算数学学报
R038,高电压技术
T001,高分子材料科学与工程
T002,高分子通报
D021,高分子学报
A080,高技术通讯
T078,高科技纤维与应用
E358,高校地质学报
T016,高校化学工程学报
B003,高校应用数学学报
R037,高压电器
C056,高压物理学报
E005,高原气象
V021,给水排水
N105,工程爆破
E360,工程地质学报
S712,工程管理学报
V030,工程勘察
V033,工程抗震与加固改造
M030,工程科学学报
C002,工程力学
C073,工程热物理学报
N590,工程设计学报
B031,工程数学学报
T003,工程塑料应用
J064,工程研究-跨学科视野中的工程
N064,工具技术
K018,工矿自动化
T563,工业催化
J057,工业工程
N110,工业工程与管理
P009,工业加热
V010,工业建筑
P005,工业炉
Z013,工业水处理
G025,工业卫生与职业病
N037,工业仪表与自动化装置
Z032,工业用水与废水
G207,公共卫生与预防医学
X579,公路
N039,功能材料
D503,功能高分子学报
E601,古地理学报
E304,古脊椎动物学报
E022,古生物学报
G478,骨科
R047,固体电子学研究与进展
Y013,固体火箭技术
C103,固体力学学报
W007,管理工程学报
W018,管理科学
W008,管理科学学报
W025,管理评论
S744,管理世界
S745,管理现代化
W016,管理学报
H226,灌溉排水学报
R026,光电工程
R082,光电子技术
C091,光谱学与光谱分析
C097,光散射学报
N015,光学技术
N033,光学精密工程
C050,光学学报
R097,光学与光电技术
C037,光子学报
R547,广东电力
H272,广东海洋大学学报
H228,广东农业科学
G027,广东药学院学报
A042,广西大学学报自然科学版
A535,广西科学
H364,广西林业科学
A062,广西师范大学学报自然科学版
G028,广西医科大学学报
G816,广西医学
F028,广西植物
G030,广州中医药大学学报
V572,规划师
T004,硅酸盐通报
T005,硅酸盐学报
M048,贵金属
A077,贵州大学学报自然科学版
H275,贵州农业科学
A527,贵州师范大学学报自然科学版
G031,贵州医科大学学报
G808,贵州医药
M033,桂林理工大学学报
A040,国防科技大学学报
G495,国际病毒学杂志
V529,国际城市规划
G936,国际儿科学杂志
G436,国际耳鼻咽喉头颈外科杂志
G497,国际放射医学核医学杂志
G659,国际妇产科学杂志
G498,国际骨科学杂志
G938,国际呼吸杂志
G362,国际检验医学杂志
G997,国际口腔医学杂志
G496,国际老年医学杂志
G930,国际流行病学传染病学杂志
G975,国际麻醉学与复苏杂志
G349,国际泌尿系统杂志
G983,国际免疫学杂志
G939,国际脑血管病杂志
G415,国际内分泌代谢杂志
G889,国际皮肤性病学杂志
G426,国际神经病学神经外科学杂志
G928,国际生物医学工程杂志
S157,国际生殖健康/计划生育杂志
B525,国际输血及血液学杂志
G954,国际外科学杂志
G660,国际消化病杂志
G940,国际心血管病杂志
Q911,国际眼科杂志
G933,国际药学研究杂志
G661,国际医学放射学杂志
G984,国际遗传学杂志
G934,国际中医中药杂志
G937,国际肿瘤学杂志
E578,国土资源科技管理
E591,国土资源遥感
R683,国外电子测量技术
H028,果树学报
T008,过程工程学报
X025,哈尔滨工程大学学报
J003,哈尔滨工业大学学报
J013,哈尔滨理工大学学报
G033,哈尔滨医科大学学报
J055,海军工程大学学报
Y029,海军航空工程学院学报
G899,海军医学杂志
A012,海南大学学报自然科学版
G416,海南医学院学报
L037,海相油气地质
E651,海洋测绘
E569,海洋地质前沿
E155,海洋地质与第四纪地质
E131,海洋工程
E312,海洋湖沼通报
Z010,海洋环境科学
E564,海洋技术学报
E145,海洋科学
E006,海洋科学进展
E311,海洋通报
E003,海洋学报
E149,海洋学研究
H284,海洋渔业
E008,海洋与湖沼
E108,海洋预报
L586,含能材料
N076,焊接
N624,焊接技术
N021,焊接学报
A191,杭州师范大学学报自然科学版
Y556,航空兵器
Y027,航空材料学报
Y017,航空动力学报
Y554,航空发动机
Y031,航空计算技术
Y012,航空精密制造技术
Y002,航空学报
Y014,航空制造技术
Y034,航天返回与遥感
Y015,航天控制
Y033,航天器工程
Y032,航天器环境工程
G034,航天医学与医学工程
T057,合成材料老化与应用
D602,合成化学
T505,合成树脂及塑料
T067,合成纤维
T065,合成纤维工业
T018,合成橡胶工业
J053,合肥工业大学学报自然科学版
A031,河北大学学报自然科学版
K032,河北工程大学学报自然科学版
J017,河北工业大学学报
J019,河北工业科技
J058,河北科技大学学报
H244,河北农业大学学报
A076,河北师范大学学报自然科学版
G035,河北医科大学学报
G641,河北医学
G898,河北医药
G384,河北中医
G301,河北中医药学报
W012,河海大学学报自然科学版
