rank,title,abbrtitle,if
164,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,12.242
165,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,12.149
166,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,12.108
167,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,12.102
168,NANO LETTERS,NANO LETT,12.080
169,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,11.982
170,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,11.852
171,TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,11.776
172,Annual Review of Biophysics,ANNU REV BIOPHYS,11.742
173,BIOLOGICAL REVIEWS,BIOL REV,11.700
174,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,11.698
175,PLOS MEDICINE,PLOS MED,11.675
176,PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,11.653
177,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,11.640
178,STUDIES IN MYCOLOGY,STUD MYCOL,11.633
179,DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,11.630
180,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,11.613
181,ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRON ASTROPHYS REV,11.611
182,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,11.561
183,INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,11.541
184,Science Advances,SCI ADV,11.511
185,Nature Plants,NAT PLANTS,11.471
186,JAMA Neurology,JAMA NEUROL,11.460
187,BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,11.452
188,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,11.439
189,NATURAL PRODUCT REPORTS,NAT PROD REP,11.406
190,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,11.392
191,Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,11.391
192,ACS Catalysis,ACS CATAL,11.384
193,Lancet HIV,LANCET HIV,11.355
194,JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,11.238
195,ACS Central Science,ACS CENTRAL SCI,11.228
196,Autophagy,AUTOPHAGY,11.100
197,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,11.049
198,TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,11.021
199,BRAIN,BRAIN,10.840
200,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,10.790
201,JAMA Pediatrics,JAMA PEDIATR,10.769
201,TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,10.769
203,PROGRESS IN QUANTUM ELECTRONICS,PROG QUANT ELECTRON,10.733
